id_centro,id_comuna,nombre_centro,tipo_centro,afiliacion_centro
2000,1,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica),Otro,Público
2001,1,PRAIS (S.S Arica),Otro,Público
2002,1,Clínica Dental Móvil Simple. Pat. PW4076 (Arica),Clínica,Público
2003,1,Oficina Sanitaria Chacalluta,Oficina,Público
2004,1,Hospital Dr. Juan Noé Crevanni (Arica),Hospital,Público
2005,1,Clínica Hebe,Clínica,Privado
2006,1,Clínica San Agustín,Clínica,Privado
2007,1,Clínica San José,Clínica,Privado
2008,1,Clínica Arica,Clínica,Privado
2009,1,Complejo Penitenciario,Complejo,Privado
2010,1,Servicio Médico Estudiantil,Otro,Privado
2011,1,Centro Clínico Militar Arica,Centro Clínico,Privado
2012,1,Policlínico del Trabajador AChS Arica,Policlínico,Privado
2013,1,Instituto de Rehabilitación Infantil TELETÓN (Arica),TELETÓN,Privado
2014,1,Centro Médico Monte Sinaí,Centro Médico,Privado
2015,1,Clínica Santo Domingo,Clínica,Privado
2016,1,Centro Integral de Salud,Otro,Privado
2017,1,Policlínico Institucional de Gendarmería de Chile (Arica),Policlínico,Privado
2018,1,Policlínico del Agricultor,Policlínico,Privado
2019,1,Centro Odontológico Arisa,Otro,Privado
2020,1,Centro de Salud Mutual CChC Arica,Mutual,Privado
2021,1,Centro Dental Megasalud SpA,Otro,Privado
2022,1,Clínica Dr. Héctor Sánchez,Clínica,Privado
2023,1,Clínica Mella Arica y Compañía Ltda.,Clínica,Privado
2024,1,Policlínico Médico-Dental de Carabineros,Policlínico,Privado
2025,1,Laboratorio Clínico San José Ltda.,Laboratorio,Privado
2026,1,Laboratorio Bionet,Laboratorio,Privado
2027,1,Laboratorio Clínico y Hematológico Diagnotest,Laboratorio,Privado
2028,1,Laboratorio Clínico Central,Laboratorio,Privado
2029,1,Laboratorio Clínico San Martín,Laboratorio,Privado
2030,1,Laboratorio Clínico Dialab,Laboratorio,Privado
2031,1,Laboratorio Clínico del Norte - Labonorte,Laboratorio,Privado
2032,1,Laboratorio Clínico Chungará,Laboratorio,Privado
2033,1,Laboratorio Clínico Biolascer,Laboratorio,Privado
2034,1,Centro de Salud Familiar Víctor Bertín Soto,CESFAM,Público
2035,1,Centro de Salud Familiar Dr. Amador Neghme de Arica,CESFAM,Público
2036,1,Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente),CESFAM,Público
2037,3,Centro de Salud Familiar Putre,CESFAM,Público
2038,1,Centro de Salud Familiar Remigio Sapunar,CESFAM,Público
2039,1,Centro de Salud Ambiental de Arica,Otro,Público
2040,1,Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte),CESFAM,Público
2041,1,Posta de Salud Rural San Miguel de Azapa,Posta,Público
2042,1,Posta de Salud Rural Poconchile,Posta,Público
2043,3,Posta de Salud Rural Belén (Putre),Posta,Público
2044,4,Posta de Salud Rural Visviri,Posta,Público
