id_comuna;pais;region;nombre_comuna;poblacion
1;Chile;Arica y Parinacota;Arica;221364
2;Chile;Arica y Parinacota;Camarones;1255
3;Chile;Arica y Parinacota;Putre;2765
4;Chile;Arica y Parinacota;General Lagos;684
5;Chile;Tarapacá;Iquique;339090
6;Chile;Tarapacá;Alto Hospicio;108375
7;Chile;Tarapacá;Pozo Almonte;15711
8;Chile;Tarapacá;Camiña;1250
9;Chile;Tarapacá;Colchane;1728
10;Chile;Tarapacá;Huara;2730
11;Chile;Tarapacá;Pica;9296
12;Chile;Antofagasta;Antofagasta;361873
13;Chile;Antofagasta;Mejillones;13467
14;Chile;Antofagasta;Sierra Gorda;10186
15;Chile;Antofagasta;Taltal;13317
16;Chile;Antofagasta;Calama;165731
17;Chile;Antofagasta;Ollagüe;321
18;Chile;Antofagasta;San Pedro de Atacama;10996
19;Chile;Antofagasta;Tocopilla;25186
20;Chile;Antofagasta;Maria Elena;6457
21;Chile;Atacama;Copiapó;286168
22;Chile;Atacama;Caldera;17662
23;Chile;Atacama;Tierra Amarilla;14019
24;Chile;Atacama;Chañaral;12219
25;Chile;Atacama;Diego de Almagro;13925
26;Chile;Atacama;Vallenar;51917
27;Chile;Atacama;Alto del Carmen;5299
28;Chile;Atacama;Freirina;7041
29;Chile;Atacama;Huasco;10149
30;Chile;Coquimbo;La Serena;221054
31;Chile;Coquimbo;Coquimbo;227730
32;Chile;Coquimbo;Andacollo;11044
33;Chile;Coquimbo;La Higuera;4241
34;Chile;Coquimbo;Paiguano;4497
35;Chile;Coquimbo;Vicuña;27771
36;Chile;Coquimbo;Illapel;30848
37;Chile;Coquimbo;Canela;9093
38;Chile;Coquimbo;Los Vilos;21382
39;Chile;Coquimbo;Salamanca;29347
40;Chile;Coquimbo;Ovalle;111272
41;Chile;Coquimbo;Combarbalá;13322
42;Chile;Coquimbo;Monte Patria;30751
43;Chile;Coquimbo;Punitaqui;10956
44;Chile;Coquimbo;Río Hurtado;4278
45;Chile;Valparaíso;Valparaiso;296655
46;Chile;Valparaíso;Casablanca;26867
47;Chile;Valparaíso;Con Con;42152
48;Chile;Valparaíso;Juan Fernández;926
49;Chile;Valparaíso;Puchuncaví;18546
50;Chile;Valparaíso;Quintero;31923
51;Chile;Valparaíso;Viña del Mar;334248
52;Chile;Valparaíso;Isla de Pascua;7750
53;Chile;Valparaíso;Los Andes;66708
54;Chile;Valparaíso;Calle Larga;14832
55;Chile;Valparaíso;Rinconada;10207
56;Chile;Valparaíso;San Esteban;18855
57;Chile;Valparaíso;La Ligua;35390
58;Chile;Valparaíso;Cabildo;19388
59;Chile;Valparaíso;Papudo;6356
60;Chile;Valparaíso;Petorca;9826
61;Chile;Valparaíso;Zapallar;7339
62;Chile;Valparaíso;Quillota;90517
63;Chile;Valparaíso;Calera;50554
64;Chile;Valparaíso;Hijuelas;17988
65;Chile;Valparaíso;La Cruz;22098
66;Chile;Valparaíso;Nogales;2212
67;Chile;Valparaíso;San Antonio;91350
68;Chile;Valparaíso;Algarrobo;13817
69;Chile;Valparaíso;Cartagena;22738
70;Chile;Valparaíso;El Quisco;15955
71;Chile;Valparaíso;El Tabo;13286
72;Chile;Valparaíso;Santo Domingo;10900
73;Chile;Valparaíso;San Felipe;76844
74;Chile;Valparaíso;Catemu;13998
75;Chile;Valparaíso;Llaillay;24608
76;Chile;Valparaíso;Panquehue;7273
77;Chile;Valparaíso;Putaendo;16754
78;Chile;Valparaíso;Santa Maria;15241
79;Chile;Valparaíso;Quilpue;151708
80;Chile;Valparaíso;Limache;46121
81;Chile;Valparaíso;Olmué;17516
82;Chile;Valparaíso;Villa Alemana;126548
83;Chile;Metropolitana;Santiago;404495
84;Chile;Metropolitana;Cerrillos;80832
85;Chile;Metropolitana;Cerro Navia;132622
86;Chile;Metropolitana;Conchalí;126955
87;Chile;Metropolitana;El Bosque;162505
88;Chile;Metropolitana;Estación Central;147041
89;Chile;Metropolitana;Huechuraba;98671
90;Chile;Metropolitana;Independencia;100281
91;Chile;Metropolitana;La Cisterna;90119
92;Chile;Metropolitana;La Florida;366916
93;Chile;Metropolitana;La Granja;116571
94;Chile;Metropolitana;La Pintana;177335
95;Chile;Metropolitana;La Reina;92787
96;Chile;Metropolitana;Las Condes;294838
97;Chile;Metropolitana;Lo Barnechea;105833
98;Chile;Metropolitana;Lo Espejo;98804
99;Chile;Metropolitana;Lo Prado;96249
100;Chile;Metropolitana;Macul;116534
101;Chile;Metropolitana;Maipu;521627
102;Chile;Metropolitana;Ñuñoa;208237
103;Chile;Metropolitana;Pedro Aguirre Cerda;101174
104;Chile;Metropolitana;Peñalolén;241599
105;Chile;Metropolitana;Providencia;142079
106;Chile;Metropolitana;Pudahuel;230293
107;Chile;Metropolitana;Quilicura;210410
108;Chile;Metropolitana;Quinta Normal;110026
109;Chile;Metropolitana;Recoleta;157851
110;Chile;Metropolitana;Renca;147151
111;Chile;Metropolitana;San Joaquín;94492
112;Chile;Metropolitana;San Miguel;107954
113;Chile;Metropolitana;San Ramón;82900
114;Chile;Metropolitana;Vitacura;85384
115;Chile;Metropolitana;Puente Alto;568106
116;Chile;Metropolitana;Pirque;26521
117;Chile;Metropolitana;San José de Maipo;18189
118;Chile;Metropolitana;Colina;146207
119;Chile;Metropolitana;Lampa;102034
120;Chile;Metropolitana;Tiltil;19312
121;Chile;Metropolitana;San Bernardo;301313
122;Chile;Metropolitana;Buin;96614
