id_comuna,id_region,nombre_comuna,poblacion
1,21000,Arica,221364
2,21000,Camarones,1255
3,21000,Putre,2765
4,21000,General Lagos,684
5,21001,Iquique,339090
6,21001,Alto Hospicio,108375
7,21001,Pozo Almonte,15711
8,21001,Camiña,1250
9,21001,Colchane,1728
10,21001,Huara,2730
11,21001,Pica,9296
12,21002,Antofagasta,361873
13,21002,Mejillones,13467
14,21002,Sierra Gorda,10186
15,21002,Taltal,13317
16,21002,Calama,165731
17,21002,Ollague,321
18,21002,San Pedro de Atacama,10996
19,21002,Tocopilla,25186
20,21002,Maria Elena,6457
21,21003,Copiapó,286168
22,21003,Caldera,17662
23,21003,Tierra Amarilla,14019
24,21003,Chañaral,12219
25,21003,Diego de Almagro,13925
26,21003,Vallenar,51917
27,21003,Alto de Carmen,5299
28,21003,Freirina,7041
29,21003,Huasco,10149
30,21004,La Serena,221054
31,21004,Coquimbo,227730
32,21004,Andacollo,11044
33,21004,La Higuera,4241
34,21004,Paiguano,4497
35,21004,Vicuña,27771
36,21004,Illapel,30848
37,21004,Canela,9093
38,21004,Los Vilos,21382
39,21004,Salamanca,29347
40,21004,Ovalle,111272
41,21004,Combarbala,13322
42,21004,Monte Patria,30751
43,21004,Punitanqui,10956
44,21004,Rio Hurtado,4278
45,21005,Valparaíso,296655
46,21005,Casa Blanca,26867
47,21005,Concon,42152
48,21005,Juan Fernández,926
49,21005,Puchuncavi,18546
50,21005,Quintero,31923
51,21005,Viña del Mar,334248
52,21005,Isla de Pascua,7750
53,21005,Los Andes,66708
54,21005,Calle Larga,14832
55,21005,Rinconada,10207
56,21005,San Esteban,18855
57,21005,La Ligua,35390
58,21005,Cabildo,19388
59,21005,Papudo,6356
60,21005,Petorca,9826
61,21005,Zapallar,7339
62,21005,Quillota,90517
63,21005,Calera,50554
64,21005,Hijuelas,17988
65,21005,La Cruz,22098
66,21005,Noglaes,2212
67,21005,San Antonio,91350
68,21005,Algarrobo,13817
69,21005,Cartagena,22738
70,21005,EL quiszo,15955
71,21005,EL Tabo,13286
72,21005,Santo Domingo,10900
73,21005,San Felipe,76844
74,21005,Catemu,13998
75,21005,Llaillay,24608
76,21005,Panquehue,7273
77,21005,Putaendo,16754
78,21005,Santa María,15241
79,21005,Quilpué,151708
80,21005,Limache,46121
81,21005,Olmue,17516
82,21005,Villa Alemana,126548
83,21006,Santiago,404495
84,21006,Cerrillos,80832
85,21006,Cerro Navia,132622
86,21006,Conchalí,126955
87,21006,El Bosque,162505
88,21006,Estacion Centrral,147041
89,21006,Huechuraba,98671
90,21006,Independencia,100281
91,21006,La Cisterna,90119
92,21006,La Florida,366916
93,21006,La Granja,116571
94,21006,La Pintana,177335
95,21006,La Reina,92787
96,21006,Las Condes,294838
97,21006,Lo Barnechea,105833
98,21006,Lo Espejo,98804
99,21006,Lo Prado,96249
100,21006,Macul,116534
101,21006,Maipú,521627
102,21006,Nuñoa,208237
103,21006,Pedro Aguirre Cerda,101174
104,21006,Peñalolen,241599
105,21006,Providencia,142079
106,21006,Pudahuel,230293
107,21006,Quilicura,210410
108,21006,Quinta Normal,110026
109,21006,Recoleta,157851
110,21006,Renca,147151
111,21006,San Joaquin,94492
112,21006,San Miguel,107954
113,21006,San ramon,82900
114,21006,Vitacura,85384
115,21006,Puente Alto,568106
116,21006,Pirque,26521
117,21006,San Jose de Maipo,18189
118,21006,Colina,146207
119,21006,Lampa,102034
120,21006,Tiltil,19312
121,21006,San Bernardo,301313
122,21006,Buin,96614
123,21006,Caleta de Tango,25392
124,21006,Paine,72759
