id_institucion,id_comuna,nombre_institucion,nivel,afiliacion_institucion
10000,83,Pontificia Universidad Catolica De Chile Casa Central,Superior,Privada
10001,83,Universidad De Chile Casa Central Y Beauchef,Superior,Publica
10002,83,Universidad De Santiago De Chile,Superior,Publica
10003,83,Universidad Andrés Bello Sede Santiago Centro,Superior,Publica
10004,83,Universidad De Talca Sede Santiago,Superior,Publica
10005,83,Universidad Diego Portales Sede Santiago,Superior,Publica
10006,83,Universidad Bernardo O´Higgins,Superior,Publica
10007,83,Universidad Central De Chile Sede Santiago,Superior,Publica
10008,83,Universidad Mayor Campus Santo Domingo,Superior,Publica
10009,83,Universidad Mayor Campus El Claustro,Superior,Publica
10010,83,Universidad Mayor Campus Alameda,Superior,Publica
10011,83,Universidad Alberto Hurtado,Superior,Publica
10012,83,Universidad Arturo Prat Sede Santiago,Superior,Publica
10013,83,Inacap Sede Santiago,Superior,Publica
10014,83,Universidad Tecnologica Metropolitana Casa Central,Superior,Publica
10015,83,Universidad De Los Lagos Sede Santiago,Superior,Publica
10016,83,Universidad De Atacama Sede Santiago,Superior,Publica
10017,83,Universidad De Las Américas Sede Santiago,Superior,Publica
10018,83,Universidad Metropolitana De Ciencias De La Educación Casa Central,Superior,Publica
10019,83,Universidad Catolica Silva Henríquez,Superior,Publica
10020,83,Universidad Academia De Humanismo Cristiano,Superior,Publica
10021,83,Universidad Del Alba Sede Santiago,Superior,Publica
10022,83,Universidad Sek Sede Santiago,Superior,Publica
10023,83,Universidad Bolivariana Sede Santiago,Superior,Publica
10024,83,Universidad Miguel De Cervantes,Superior,Publica
10025,83,Universidad Los Leones,Superior,Publica
10026,83,Liceo Instituto Nacional,Basico/Medio,Publica
10027,83,Liceo Javiera Carrera,Basico/Medio,Publica
10028,83,Liceo N° 4 Bicentenario Isaura Dinator,Basico/Medio,Publica
10029,83,Liceo Bicentenario Teresa Prats,Basico/Medio,Publica
10030,83,Liceo Nro 2 Miguel Luis Amunategui,Basico/Medio,Publica
10031,83,Liceo De Aplicacion Rector Jorge E Schne,Basico/Medio,Publica
10032,83,Liceo Manuel Barros Borgono,Basico/Medio,Publica
10033,83,Liceo Confederacion Suiza,Basico/Medio,Publica
10034,83,Liceo José De San Martin,Basico/Medio,Publica
