id_comuna,ind_entretencion,ind_educacion,ind_laboral,ind_salud,ind_total
1,Excelente,Excelente,Aceptable,Excelente,Excelente
2,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
3,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
4,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
5,Excelente,Excelente,Aceptable,Excelente,Excelente
6,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
7,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
8,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
9,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
10,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
11,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
12,Excelente,Excelente,Deficiente,Excelente,Excelente
13,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
14,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
15,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
16,Excelente,Excelente,Aceptable,Excelente,Excelente
17,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
18,Deficiente,Deficiente,Excelente,Deficiente,Deficiente
19,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
20,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
21,Excelente,Aceptable,Aceptable,Excelente,Excelente
22,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
23,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
24,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
25,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
26,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
27,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
28,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
29,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
30,Aceptable,Excelente,Aceptable,Excelente,Excelente
31,Excelente,Excelente,Aceptable,Excelente,Excelente
32,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
33,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
34,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
35,Aceptable,Deficiente,Aceptable,Aceptable,Aceptable
36,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
37,Deficiente,Deficiente,Deficiente,Aceptable,Deficiente
38,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
39,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
40,Excelente,Excelente,Aceptable,Aceptable,Excelente
41,Deficiente,Deficiente,Deficiente,Aceptable,Deficiente
42,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
43,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
44,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
45,Excelente,Excelente,Aceptable,Excelente,Excelente
46,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
47,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
48,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
49,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
50,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
51,Excelente,Excelente,Aceptable,Excelente,Excelente
52,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
53,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
54,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
55,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
56,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
57,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
58,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
59,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
60,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
61,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
62,Excelente,Aceptable,Deficiente,Aceptable,Aceptable
63,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
64,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
65,Deficiente,Deficiente,Excelente,Deficiente,Aceptable
66,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
67,Aceptable,Excelente,Aceptable,Aceptable,Excelente
68,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
69,Aceptable,Deficiente,Aceptable,Deficiente,Aceptable
70,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
71,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
72,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
73,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
74,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
75,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
76,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
77,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
78,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
79,Aceptable,Excelente,Aceptable,Aceptable,Excelente
80,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
81,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
82,Deficiente,Excelente,Aceptable,Deficiente,Aceptable
83,Excelente,Excelente,Excelente,Excelente,Excelente
84,Aceptable,Deficiente,Aceptable,Deficiente,Aceptable
85,Deficiente,Aceptable,Deficiente,Deficiente,Deficiente
86,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
87,Deficiente,Excelente,Aceptable,Aceptable,Aceptable
88,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
89,Aceptable,Deficiente,Aceptable,Deficiente,Aceptable
90,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
91,Aceptable,Excelente,Aceptable,Deficiente,Aceptable
92,Excelente,Excelente,Aceptable,Excelente,Deficiente
93,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
94,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
95,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
96,Excelente,Excelente,Aceptable,Excelente,Excelente
97,Aceptable,Deficiente,Aceptable,Aceptable,Aceptable
98,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
99,Aceptable,Deficiente,Aceptable,Deficiente,Aceptable
100,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
101,Excelente,Excelente,Aceptable,Excelente,Aceptable
102,Excelente,Excelente,Aceptable,Aceptable,Aceptable
103,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
104,Aceptable,Excelente,Aceptable,Aceptable,Excelente
105,Deficiente,Excelente,Aceptable,Excelente,Excelente
106,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
107,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
108,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
109,Deficiente,Excelente,Aceptable,Aceptable,Aceptable
110,Deficiente,Aceptable,Aceptable,Deficiente,Aceptable
111,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
112,Deficiente,Excelente,Aceptable,Aceptable,Aceptable
113,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
114,Aceptable,Deficiente,Aceptable,Aceptable,Aceptable
115,Excelente,Excelente,Aceptable,Excelente,Excelente
116,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
117,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
118,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
119,Deficiente,Aceptable,Aceptable,Deficiente,Aceptable
120,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
121,Aceptable,Excelente,Aceptable,Excelente,Excelente
122,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
123,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
124,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
125,Excelente,Aceptable,Aceptable,Aceptable,Excelente
126,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
127,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
128,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
129,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
130,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
131,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
132,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
133,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
134,Deficiente,Aceptable,Aceptable,Deficiente,Aceptable
135,Excelente,Excelente,Aceptable,Excelente,Excelente
136,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
137,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
138,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
139,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
140,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
141,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
142,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
143,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
144,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
145,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
146,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
147,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
148,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
149,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
150,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
151,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
152,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
153,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
154,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
155,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
156,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
157,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
158,Aceptable,Aceptable,Aceptable,Aceptable,Aceptable
159,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
160,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
161,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
162,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
163,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
164,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
165,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
166,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
167,Aceptable,Deficiente,Aceptable,Aceptable,Aceptable
168,Excelente,Excelente,Aceptable,Excelente,Excelente
169,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
170,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
171,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
172,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
173,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
174,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
175,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
176,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
177,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
178,Deficiente,Aceptable,Aceptable,Aceptable,Aceptable
179,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
180,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
181,Excelente,Excelente,Aceptable,Excelente,Excelente
182,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
183,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
184,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
185,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
186,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
187,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
188,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
189,Deficiente,Deficiente,Aceptable,Deficiente,Deficiente
190,Deficiente,Aceptable,Aceptable,Excelente,Excelente
191,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente
192,Deficiente,Deficiente,Deficiente,Aceptable,Deficiente
193,Deficiente,Deficiente,Aceptable,Aceptable,Aceptable
194,Deficiente,Deficiente,Deficiente,Aceptable,Deficiente
