id_panorama,id_comuna,pob_edad_trabajar,hom_edad_trabajar,muj_edad_trabajar,hom_ocupados,muj_ocupadas
1000,1,167904,82236,85668,55346,40432
1001,2,1042,611,431,504,272
1002,3,2457,1882,575,1505,396
1003,4,565,354,211,277,107
1004,5,299291,25263,246661,238493,222916
1005,6,75121,37261,37860,25809,18296
1006,7,11794,7026,4768,5490,2303
1007,8,951,515,436,376,232
1008,9,1398,817,581,630,332
1009,10,2039,1145,894,892,504
1010,11,7988,5866,2122,5296,1249
1011,12,277774,139099,138675,99504,6528
1012,13,10587,6558,4029,5463,1959
1013,14,9846,8472,1374,8297,1196
1014,15,10129,5850,4279,4774,1993
1015,16,123994,64875,59119,48110,27941
1016,17,255,167,88,146,61
1017,18,8939,5113,3826,4408,2600
1018,19,18486,9111,9375,3846,5993
1019,20,5333,3525,1808,3084,1003
1020,21,216648,108832,107816,75550,43627
1021,22,13216,6850,6366,5058,2974
1022,23,10779,6123,4656,4451,1467
1023,24,9183,4684,4499,3161,1618
1024,25,10532,5712,4820,4383,1894
1025,26,3884,18759,20081,12584,8502
1026,27,4101,2303,1798,1570,618
1027,28,5318,2670,2648,1888,995
1028,29,7649,3933,3716,2826,1642
1029,30,169822,79758,90064,50368,37816
1030,31,172017,81637,90380,55205,38211
1031,32,8483,4214,4269,2630,1322
1032,33,3205,1707,1498,1193,563
1033,34,3584,1800,1784,1285,844
1034,35,21142,10444,10698,7172,4091
1035,36,23557,11116,12441,7332,4814
1036,37,7332,3705,3627,2084,1088
1037,38,16513,8503,8010,6238,3552
1038,39,22972,12414,10558,9314,4393
1039,40,84161,39837,44324,27485,18409
1040,41,10592,5281,5311,3337,1758
1041,42,23197,11410,11787,7916,4153
1042,43,8180,4029,4151,2563,1272
1043,44,3486,1754,1732,1108,568
1044,45,238687,115293,123394,74901,56451
1045,46,21099,10451,10648,7620,4651
1046,47,33454,15830,17624,10966,8465
1047,48,725,396,329,352,195
1048,49,14568,7297,7271,5029,3103
1049,50,24656,12088,12568,8048,5276
1050,51,272750,127660,145090,83102,66366
1051,52,5879,2869,3010,2483,2299
1052,53,5199,25932,26058,18598,11844
1053,54,11089,5443,5646,3919,2478
1054,55,7701,3816,3885,2775,1783
1055,56,14382,7045,7337,5007,3086
1056,57,2758,13412,14168,9370,6247
1057,58,14706,7115,7591,4881,2838
1058,59,5165,2735,2430,2085,1124
1059,60,7789,3818,3971,2452,1644
1060,61,5889,2984,2905,1334,2207
1061,62,71223,33860,37363,23303,1628
1062,63,39332,18777,20555,12339,8089
1063,64,14080,7041,7039,5096,2803
1064,65,16830,7963,8867,7963,4070
1065,66,17153,8265,8888,5451,3036
1066,67,70795,34243,36552,23810,16458
1067,68,11051,5377,5674,3651,2542
1068,69,17495,8631,8864,5742,3641
1069,70,12613,6160,6453,3934,2709
1070,71,10690,5327,5363,3317,2066
1071,72,8472,4220,4252,3204,1901
1072,73,5896,28214,30746,20110,14533
1073,74,10766,5355,5411,3799,2089
1074,75,18761,9170,9591,6587,4031
1075,76,5623,2819,2804,2121,1129
1076,77,13205,6535,6670,4194,4194
1077,78,11828,5807,6021,4154,2650
1078,79,120578,55833,64745,36599,28481
1079,80,35856,17158,18698,11461,7933
1080,81,13860,6764,7096,4594,2895
1081,82,98960,45824,53136,30382,23307
1082,83,348918,178284,170634,137698,114639
1083,84,63068,30431,32637,21952,15989
1084,85,103162,50604,52558,36125,4961
1085,86,100335,48455,51880,34350,25250
1086,87,126778,61141,65637,42878,30226
1087,88,120697,60132,60565,44062,32341
1088,89,73934,35553,38381,25325,19981
1089,90,81700,39796,41904,30360,24557
1090,91,72146,34113,38033,24241,19296
1091,92,293956,138489,155467,98024,79380
1092,93,91531,44235,47296,31496,22390
1093,94,132120,64326,67794,45916,31201
1094,95,75171,34581,40590,23583,21986
1095,96,245724,111029,134695,76844,74733
1096,97,80017,37376,42641,26645,24221
1097,98,77237,38108,39129,26733,17416
1098,99,76953,37053,39900,25978,19470
1099,100,95568,44561,51007,31464,27168
1100,101,413964,195771,218193,140614,109956
1101,102,174226,78252,95974,56912,56194
1102,103,80521,39007,41514,27051,19249
1103,104,188757,90158,98599,64260,52354
1104,105,122424,55784,66640,41240,40539
1105,106,178191,85853,92338,63234,47997
1106,107,158233,76887,81346,58144,43483
1107,108,88645,42728,45917,30887,23807
1108,109,126163,61631,64532,44854,34184
1109,110,111484,54459,57025,39697,28214
1110,111,76749,36785,39964,25426,19405
1111,112,88100,40728,47372,30164,26602
1112,113,65179,31770,33409,21938,15240
1113,114,68609,29953,38656,20878,21896
1114,115,434687,207354,227333,151047,116780
1115,116,20523,10379,10144,7609,4988
1116,117,14578,7985,6593,6099,3518
1117,118,105506,53676,51830,38405,27699
1118,119,73708,36946,36762,28523,18877
1119,120,14801,7721,7080,5620,3283
1120,121,226851,110132,116719,79471,56031
1121,122,73428,35751,37677,26543,18175
1122,123,19681,9823,9858,7210,4793
1123,124,55587,27797,27790,20222,12533
1124,125,95019,46927,48092,33432,20705
1125,126,5118,2838,2280,2205,1002
1126,127,25181,12476,12705,8861,5844
1127,128,10567,5334,5233,3915,2129
1128,129,7489,4039,3450,2974,1369
1129,130,57193,28115,29078,20065,13662
1130,131,27245,13435,27245,9671,5971
1131,132,27632,13749,13883,9955,6083
1132,133,48032,23628,24404,17406,11436
1133,134,68533,32963,35570,23419,16569
1134,135,187487,90093,97394,62037,44444
1135,136,10052,5048,5004,3655,2040
1136,137,5893,2984,2909,1948,966
1137,138,15265,7612,7653,5265,2811
1138,139,15976,7881,8095,5561,3336
1139,140,25082,12377,12705,8932,5779
1140,141,19303,9944,9359,7140,3646
1141,142,38578,18563,20015,1349,9539
1142,143,10700,5425,5275,3762,1916
1143,144,19461,9674,9787,6868,3890
1144,145,10476,5251,5225,3909,2133
1145,146,11262,5716,5546,4174,2235
1146,147,15618,7965,7653,5658,2630
1147,148,10315,5186,5129,3706,2120
1148,149,45406,22068,23338,15670,10129
1149,150,21361,10761,10600,8106,4634
1150,151,36803,18163,18640,12688,7837
1151,152,13098,6565,6533,4548,2972
1152,153,2508,1335,1173,956,404
1153,154,5078,2651,2427,1888,931
1154,155,5940,3072,2868,2188,1051
1155,156,5473,2865,2608,1769,935
1156,157,5152,2710,2442,1622,656
1157,158,56824,27275,29549,19575,13924
1158,159,11994,6041,5953,4054,1958
1159,160,27696,13924,13772,10009,5494
1160,161,5553,2849,2704,1828,864
1161,162,13885,6884,7001,4952,2820
1162,163,9929,5009,4920,3613,1766
1163,164,8857,4484,4373,3107,1599
1164,165,6902,3475,3427,2521,1289
1165,166,2911,1476,1435,945,444
1166,167,29901,14554,15347,10242,6655
1167,168,174608,82201,92407,54329,40572
1168,169,35094,17418,17676,12596,7221
1169,170,7871,4022,3849,2351,1160
1170,171,3216,1715,1501,1263,531
1171,172,36012,17224,18788,12477,8646
1172,173,6627,3304,3323,2284,1199
1173,174,6680,3430,3250,2358,1252
1174,175,11018,5769,5249,4309,2040
1175,176,33659,16837,16822,11336,5681
1176,177,7045,3473,3572,2342,1371
1177,178,31560,14902,16658,9683,6239
1178,179,7009,3509,3500,2333,1084
1179,180,5879,2935,2944,1880,1155
1180,181,115342,55491,59851,40102,28736
1181,182,7833,3945,3888,2556,1321
1182,183,5334,2688,2646,1852,1131
1183,184,35901,17500,18401,12442,7657
1184,185,8305,4107,4198,2837,1544
1185,186,12022,6065,5957,4527,2591
1186,187,14656,7422,7234,5395,2729
1187,188,22807,11584,11223,8417,4423
1188,189,3512,1828,1684,1296,696
1189,190,72516,3397,38546,22729,16515
1190,191,16099,7826,8273,5018,2715
1191,192,23846,12110,11736,8121,3654
1192,193,32213,15397,16816,10123,6144
1193,194,15709,7877,7832,5109,2133
1194,195,35252,16857,18395,11170,6701
1195,196,12694,6117,6577,4093,2356
1196,197,13956,7031,6925,4761,2206
1197,198,145379,67440,77939,42936,33027
1198,199,16983,8129,8854,5135,2991
1199,200,23429,10806,12623,7290,5317
1200,201,9589,4703,4886,2976,1484
1201,202,6746,3304,3442,899,1936
1202,203,8709,4270,4439,2705,1471
1203,204,13998,6879,7119,4273,2106
1204,205,12899,6299,6600,3748,1653
1205,206,14108,7076,7032,4434,2381
1206,207,9248,4525,4723,2807,1568
1207,208,4228,2138,2090,1203,661
1208,209,12501,6081,6420,3820,2063
1209,210,4242,2104,2138,1075,568
1210,211,3943,1968,1975,1169,564
1211,212,4640,2273,2367,1373,688
1212,213,4333,2147,2186,1187,618
1213,214,41721,19713,22008,12318,7481
1214,215,20739,10315,10424,6694,3091
1215,216,8930,4480,4450,2458,1058
1216,217,3443,1781,1662,1106,528
1217,218,9320,4618,4702,2853,1408
1218,219,223574,88219,97102,54361,43139
1219,220,87944,41646,46298,25883,17847
1220,221,67836,31293,36543,20391,16018
1221,222,8579,4358,4221,2854,1385
1222,223,18713,8935,9778,5840,3617
1223,224,33935,16080,17855,9033,7070
1224,225,3718,17505,19675,11317,7804
1225,226,100126,46792,53334,32042,25015
1226,227,10747,5208,5539,3203,1970
1227,228,120813,57214,63599,35376,26004
1228,229,43435,20073,23362,12528,9337
1229,230,72946,33881,39065,21351,16708
1230,231,19309,9346,9963,6033,4009
1231,232,27702,13523,14179,8866,5252
1232,233,25724,1223,13494,8076,5125
1233,234,4689,2343,2346,1452,965
1234,235,24779,11971,12808,7373,5012
1235,236,15475,7402,8073,4764,2862
1236,237,7705,3872,1480,2408,131
1237,238,154878,73703,81175,50615,33520
1238,239,3206,1517,1689,771,533
1239,240,22288,10935,11353,6904,3425
1240,241,17175,8086,9089,4574,2728
1241,242,22848,11237,11611,7249,3841
1242,243,20300,9919,10381,5929,3209
1243,244,7468,3656,3812,2304,1145
1244,245,3190,1606,1584,885,484
1245,246,7617,3725,3892,2111,1086
1246,247,2690,1265,1425,642,372
1247,248,10557,5087,5470,3067,1818
1248,249,10971,5280,5691,3190,1805
1249,250,16984,8320,8664,4763,2690
1250,251,4051,2106,1945,1137,553
1251,252,222223,103632,118591,69085,54519
1252,253,18436,9089,9347,5801,3085
1253,254,13755,6859,6896,4204,2053
1254,255,5572,2835,2737,1819,1058
1255,256,19055,9544,9511,6237,2925
1256,257,8929,4439,4490,2513,1240
1257,258,11524,5536,5988,3450,2048
1258,259,28441,13685,14756,8795,5027
1259,260,18199,8801,9398,5388,3000
1260,261,4811,2418,2393,1255,762
1261,262,24857,12015,12842,7394,4485
1262,263,57038,27322,29716,18109,29716
1263,264,5373,2636,2737,1682,837
1264,265,19331,9245,10086,5871,3659
1265,266,22005,10841,11164,7737,5317
1266,267,9346,4624,4722,2768,1526
1267,268,11746,5919,5827,3748,1719
1268,269,7616,3803,3813,2237,1223
1269,270,21146,10345,10801,6793,3737
1270,271,42526,20562,21964,14085,9269
1271,272,8470,4152,4318,2507,1372
1272,273,41099,19368,21731,12897,9238
1273,274,18590,8998,9592,5834,3358
1274,275,13618,6423,7195,4110,2506
1275,276,5764,2813,2951,1746,1001
1276,277,7737,4076,3661,2530,1189
1277,278,5612,2781,2831,1748,1003
1278,279,7237,3730,3507,2208,956
1279,280,9114,4346,4768,2573,1570
1280,281,7845,3765,4080,2509,1488
1281,282,14558,6851,7707,4185,2715
1282,283,26698,12599,14099,8064,5228
1283,284,132535,63344,69191,41470,32529
1284,285,4194,2083,2111,1364,796
1285,286,12737,6126,6611,4077,2422
1286,287,15116,7501,7615,5090,2586
1287,288,5394,2668,2726,1827,965
1288,289,15862,7849,8013,5251,2997
1289,290,15688,7767,7921,5340,2826
1290,291,26263,12987,13276,8473,4751
1291,292,29328,14252,15076,9347,5413
1292,293,11046,5465,5581,3764,1859
1293,294,7692,3923,3769,2462,3769
1294,295,24513,12075,12438,8146,4239
1295,296,188659,91956,96703,66122,48015
1296,297,26016,13083,12933,8684,5193
1297,298,3280,1817,1463,1207,517
1298,299,9689,4874,4815,3350,1736
1299,300,14272,7009,7263,5093,3079
1300,301,13483,6913,6570,4914,2417
1301,302,13651,6696,6955,4801,2879
1302,303,11403,5779,5624,3912,2049
1303,304,34063,16609,17454,12599,9560
1304,305,33965,16407,17558,11740,9027
1305,306,30313,14635,15678,9944,7085
1306,307,11612,5809,5803,4016,2574
1307,308,2986,1426,1560,888,583
1308,309,10558,5242,5316,3591,2322
1309,310,3161,1547,1614,970,494
1310,311,4267,2205,2062,1356,768
1311,312,27192,10429,9941,7733,4814
1312,313,6570,3382,3188,2154,1195
1313,314,6327,3074,3253,1859,1256
1314,315,125909,59169,66740,41334,29860
1315,316,7079,3714,3365,2677,1121
1316,317,15900,7686,8214,5175,2861
1317,318,9129,4680,4449,3171,1354
1318,319,11078,5538,5540,3680,1699
1319,320,5969,3201,2768,2031,942
1320,321,7876,3888,3988,2567,1342
1321,322,4133,2511,1622,1966,770
1322,323,2101,1126,975,925,511
1323,324,6853,3620,3233,2472,1282
1324,325,1400,725,675,536,308
1325,326,43588,21496,22092,16577,12620
1326,327,690,400,290,334,160
1327,328,18105,9719,8386,7406,4290
1328,329,5202,3237,1965,2814,1136
1329,330,1499,983,516,802,287
1330,331,2637,1421,1216,1176,739
1331,332,482,133,177,278,133
1332,333,369,209,160,189,120
1333,334,3768,2016,1752,1580,927
1334,335,2127,1149,978,879,502
1335,336,105198,52186,27685,38596,1387
1336,337,165099,67336,64767,50920,34344
1337,338,132103,67336,64767,50920,34344
1338,339,721,576,145,555,105
1339,340,1539,938,601,880,386
1340,341,132103,67336,64767,50920,34344
1341,342,5498,3324,2174,2913,1370
1342,343,1059,878,181,864,141
1343,344,132103,67336,64767,50920,34344
1344,345,16934,8658,8276,6368,4319
1345,346,1154,776,378,744,338
